ID_Punktu,Nazwa_Stacji,Adres,Latitude,Longitude,Handlowiec,Status,Ostatnia_Aktualizacja,Notatki
ORL-PL-327854771,Orlen,"Stacja Orlen, Polska (współrzędne: 53.52681, 15.79571)",53.526812,15.795715,,Do zrobienia,,
ORL-PL-332578984,Orlen nr 422,"ul. Topolowa 11, 61-584 Poznań",52.400642,16.921586,,Do zrobienia,,
ORL-PL-333716219,Orlen nr 587,"Stacja Orlen, Polska (współrzędne: 52.27888, 16.68777)",52.278883,16.687770,,Do zrobienia,,
ORL-PL-333743285,Orlen,"ul. Ślężna 88A, 53-306 Wrocław",51.083416,17.025101,,Do zrobienia,,
ORL-PL-339223210,Orlen,"ul. Warszawska 4, 05-520 Konstancin-Jeziorna",52.092131,21.119556,,Do zrobienia,,
ORL-PL-353499221,Orlen nr 1161,"Stacja Orlen, Polska (współrzędne: 52.41010, 17.00797)",52.410101,17.007968,,Do zrobienia,,
ORL-PL-353740430,Orlen nr 665,"ul. Piotra Mocka 3, 62-050 Mosina",52.252929,16.854139,,Do zrobienia,,
ORL-PL-359467227,Orlen nr 7424,"ul. Siedlecka 8a, 08-112 Wiśniew",52.069763,22.294329,,Do zrobienia,,
ORL-PL-362294148,Orlen,"Stacja Orlen, Polska (współrzędne: 53.25610, 14.48886)",53.256102,14.488861,,Do zrobienia,,
ORL-PL-368143716,Orlen,"Stacja Orlen, Polska (współrzędne: 51.21338, 21.24817)",51.213378,21.248166,,Do zrobienia,,
ORL-PL-368143717,Orlen,"ul. Danuty Siedzikówny ""Inki"" 16, 27-100 Iłża",51.167371,21.232443,,Do zrobienia,,
ORL-PL-368143821,Orlen,"ul. Wojska Polskiego 111, 26-700 Zwoleń",51.358510,21.565709,,Do zrobienia,,
ORL-PL-372188673,Orlen,"Stacja Orlen, Polska (współrzędne: 50.60997, 22.00809)",50.609972,22.008085,,Do zrobienia,,
ORL-PL-372188682,Orlen,"Stacja Orlen, Polska (współrzędne: 50.66284, 21.84881)",50.662845,21.848813,,Do zrobienia,,
ORL-PL-372188836,Orlen,"ul. Aleja Armii Krajowej 5, 22-100 Chełm",51.129989,23.467792,,Do zrobienia,,
ORL-PL-372188988,Orlen,Chełm,51.143800,23.504410,,Do zrobienia,,
ORL-PL-372190562,Orlen,Nisko,50.504725,22.142329,,Do zrobienia,,
ORL-PL-376036130,Orlen nr 4307,"Stacja Orlen, Polska (współrzędne: 51.15742, 15.04258)",51.157417,15.042584,,Do zrobienia,,
ORL-PL-383902793,Orlen,"Stacja Orlen, Polska (współrzędne: 51.09931, 15.30926)",51.099309,15.309257,,Do zrobienia,,
ORL-PL-410703559,Orlen,"ul. Wersalska 3, 03-955 Warszawa",52.224096,21.059460,,Do zrobienia,,
ORL-PL-417909148,Orlen,Nowa Słupia,50.854740,21.085880,,Do zrobienia,,
ORL-PL-417910401,Orlen nr 1353,"Stacja Orlen, Polska (współrzędne: 51.07204, 19.41901)",51.072036,19.419012,,Do zrobienia,,
ORL-PL-417910498,Orlen,Baranów Sandomierski,50.491386,21.550426,,Do zrobienia,,
ORL-PL-419354159,Orlen,"ul. Jedności Narodowej 156, 50-302 Wrocław",51.126707,17.046488,,Do zrobienia,,
ORL-PL-429234951,Orlen nr 7694,"Goleńsko, 99-413",52.148672,19.925530,,Do zrobienia,,
ORL-PL-430999459,Orlen nr 1368,"Stacja Orlen, Polska (współrzędne: 52.42697, 16.93506)",52.426973,16.935057,,Do zrobienia,,
ORL-PL-450090249,Orlen,"ul. Warszawska, 06-130 Nasielsk",52.589501,20.809559,,Do zrobienia,,
ORL-PL-472278434,Orlen,"ul. Władysława Sikorskiego 115, Gliwice",50.291571,18.747614,,Do zrobienia,,
ORL-PL-472593709,Orlen,"Stacja Orlen, Polska (współrzędne: 51.17779, 16.15821)",51.177788,16.158207,,Do zrobienia,,
ORL-PL-476214790,Orlen,14-120,53.449799,20.033331,,Do zrobienia,,
ORL-PL-476214955,Orlen,"ul. Sońska 4, 06-400 Ciechanów",52.857502,20.635358,,Do zrobienia,,
ORL-PL-476215872,Orlen,"ul. Warszawska, 13-100 Nidzica",53.352811,20.428367,,Do zrobienia,,
ORL-PL-476215876,Orlen,"ul. Wyzwolenia 1b, 06-445 Strzegowo",52.887576,20.279766,,Do zrobienia,,
ORL-PL-476215969,Orlen,"ul. Warszawska 4, 87-630 Skępe",52.876573,19.369074,,Do zrobienia,,
ORL-PL-481952969,Orlen,"ul. Głęboka 32, 20-612 Lublin",51.242298,22.540797,,Do zrobienia,,
ORL-PL-481952984,Orlen,"ul. Aleja Spółdzielczości Pracy 30, 20-147 Lublin",51.264367,22.572081,,Do zrobienia,,
ORL-PL-481953340,Orlen,"ul. Doktora Tadeusza Tyszkiewicza, Kazimierz Dolny",51.325967,21.950898,,Do zrobienia,,
ORL-PL-496315984,Orlen,"ul. Eskadrowa 1, 71-675 Szczecin",53.395542,14.615961,,Do zrobienia,,
ORL-PL-498233984,Orlen nr 4148,"Stacja Orlen, Polska (współrzędne: 51.79769, 16.65204)",51.797692,16.652040,,Do zrobienia,,
ORL-PL-499874446,Orlen,96-514,52.280442,20.124149,,Do zrobienia,,
ORL-PL-505370469,Orlen nr 4269,"ul. Morska 150a, 75-235 Koszalin",54.209877,16.152879,,Do zrobienia,,
ORL-PL-528538730,Orlen nr 7343,"Dobra, 62-730",51.904199,18.610124,,Do zrobienia,,
ORL-PL-529534460,Orlen nr 603,"ul. Warszawska 66C, 62-400 Słupca",52.283318,17.887028,,Do zrobienia,,
ORL-PL-537259345,Orlen,"Stacja Orlen, Polska (współrzędne: 52.02878, 20.67491)",52.028781,20.674909,,Do zrobienia,,
ORL-PL-537653776,Orlen nr 4047,"Stacja Orlen, Polska (współrzędne: 52.89581, 16.55097)",52.895805,16.550969,,Do zrobienia,,
ORL-PL-544444405,Orlen,"Stacja Orlen, Polska (współrzędne: 50.03989, 19.96255)",50.039886,19.962554,,Do zrobienia,,
ORL-PL-546862766,Orlen,"ul. Nawojowska 99, Nowy Sącz",49.602746,20.715584,,Do zrobienia,,
ORL-PL-559440049,Orlen nr 1114,"Stacja Orlen, Polska (współrzędne: 52.19670, 14.78928)",52.196700,14.789281,,Do zrobienia,,
ORL-PL-560715183,Orlen,"Stacja Orlen, Polska (współrzędne: 54.18021, 22.62138)",54.180207,22.621384,,Do zrobienia,,
ORL-PL-562767139,Orlen,"Stacja Orlen, Polska (współrzędne: 49.65124, 21.82116)",49.651241,21.821162,,Do zrobienia,,
ORL-PL-566829684,Orlen,"Stacja Orlen, Polska (współrzędne: 50.06298, 22.01130)",50.062976,22.011299,,Do zrobienia,,
ORL-PL-568931159,Orlen,Mielec,50.287523,21.403444,,Do zrobienia,,
ORL-PL-570307408,Orlen,"Stacja Orlen, Polska (współrzędne: 49.89693, 21.37970)",49.896930,21.379700,,Do zrobienia,,
ORL-PL-571566421,Orlen,"ul. Jana Sobieskiego 1, 38-100 Strzyżów",49.871596,21.775165,,Do zrobienia,,
ORL-PL-571652866,Orlen,"ul. Śląska 45/47, Gdynia",54.513449,18.533597,,Do zrobienia,,
ORL-PL-577429423,Orlen,"ul. Tarnowska 7, 33-140 Lisia Góra",50.073860,21.021430,,Do zrobienia,,
ORL-PL-581905501,Orlen,"ul. Krakowska 5, 32-851 Brzesko",49.968928,20.627175,,Do zrobienia,,
ORL-PL-581910188,Orlen,"Stacja Orlen, Polska (współrzędne: 49.96466, 20.74168)",49.964661,20.741684,,Do zrobienia,,
ORL-PL-587566937,Orlen,"Stacja Orlen, Polska (współrzędne: 53.16779, 18.58347)",53.167793,18.583473,,Do zrobienia,,
ORL-PL-589805284,Orlen,"ul. Kujawska 71, Bydgoszcz",53.112085,18.008149,,Do zrobienia,,
ORL-PL-589846879,Orlen,"ul. Gdańska 252, Bydgoszcz",53.171549,18.051920,,Do zrobienia,,
ORL-PL-600007050,Orlen,ul. Chemików 18,50.031514,19.252613,,Do zrobienia,,
ORL-PL-603758330,Orlen,"ul. Promenada 8, 73-210 Recz",53.262578,15.545404,,Do zrobienia,,
ORL-PL-603760275,Orlen,"Stacja Orlen, Polska (współrzędne: 53.17057, 15.41843)",53.170572,15.418433,,Do zrobienia,,
ORL-PL-605057502,Orlen nr 7004,"Stacja Orlen, Polska (współrzędne: 52.56699, 15.79078)",52.566993,15.790785,,Do zrobienia,,
ORL-PL-672549442,Orlen nr 977,"Stacja Orlen, Polska (współrzędne: 50.92690, 17.29870)",50.926895,17.298700,,Do zrobienia,,
ORL-PL-683177921,Orlen,Paradyż,51.305325,20.114503,,Do zrobienia,,
ORL-PL-683196537,PKN Orlen,"ul. Oskara Kolberga 2, 26-300 Opoczno",51.369389,20.295785,,Do zrobienia,,
ORL-PL-686236295,Orlen,"Stacja Orlen, Polska (współrzędne: 50.79712, 16.28913)",50.797121,16.289126,,Do zrobienia,,
ORL-PL-687701832,Orlen nr 643,"ul. Opolska 26, 46-024 Jełowa",50.786775,18.058362,,Do zrobienia,,
ORL-PL-705082406,Orlen nr 4059,"Stacja Orlen, Polska (współrzędne: 52.38763, 16.47588)",52.387627,16.475882,,Do zrobienia,,
ORL-PL-716311106,Orlen,96-130,51.777488,20.099463,,Do zrobienia,,
ORL-PL-717409274,Orlen nr 814,"ul. Biłgorajska 1, 23-420 Tarnogród",50.366387,22.739576,,Do zrobienia,,
ORL-PL-718917571,Orlen,"ul. Warszawska 357, 43-300 Bielsko-Biała",49.859030,19.022980,,Do zrobienia,,
ORL-PL-722051013,Orlen,"ul. wybrzeże Ludwika Pasteura 20, Wrocław",51.114252,17.070957,,Do zrobienia,,
ORL-PL-727605072,Orlen,"ul. Bolesława Krzywoustego 172, Wrocław",51.142375,17.091586,,Do zrobienia,,
ORL-PL-729563727,Orlen nr 4075,"Stacja Orlen, Polska (współrzędne: 52.25137, 18.92660)",52.251372,18.926601,,Do zrobienia,,
ORL-PL-729619285,Orlen - Bliska,"Stacja Orlen, Polska (współrzędne: 53.83339, 22.38731)",53.833389,22.387306,,Do zrobienia,,
ORL-PL-740157752,Orlen,"Stacja Orlen, Polska (współrzędne: 49.98310, 20.22911)",49.983096,20.229110,,Do zrobienia,,
ORL-PL-744504173,Orlen,"ul. Bolesława Krzywoustego 177, Wrocław",51.141129,17.092853,,Do zrobienia,,
ORL-PL-762888479,Orlen,"Stacja Orlen, Polska (współrzędne: 50.71050, 16.00132)",50.710500,16.001319,,Do zrobienia,,
ORL-PL-767540723,Orlen,"Stacja Orlen, Polska (współrzędne: 51.97821, 19.27437)",51.978209,19.274370,,Do zrobienia,,
ORL-PL-767553067,Orlen nr 551,"ul. Zgierska 42, 95-035 Ozorków",51.956221,19.306877,,Do zrobienia,,
ORL-PL-771759666,Orlen nr 231,"ul. Aleja Poznańska 32, 64-920 Piła",53.134980,16.753160,,Do zrobienia,,
ORL-PL-778761439,Orlen,"Stacja Orlen, Polska (współrzędne: 50.33294, 22.33580)",50.332943,22.335798,,Do zrobienia,,
ORL-PL-793552425,Orlen,"ul. Ignacego Domejki 1a, 59-220 Legnica",51.209495,16.130915,,Do zrobienia,,
ORL-PL-836794943,Orlen nr 487,"Stacja Orlen, Polska (współrzędne: 51.68055, 19.47556)",51.680547,19.475562,,Do zrobienia,,
ORL-PL-836795064,Orlen nr 515,"Stacja Orlen, Polska (współrzędne: 51.68036, 19.47693)",51.680364,19.476927,,Do zrobienia,,
ORL-PL-836795187,Orlen nr 7403,"ul. Trybunalska 4, 95-080 Kruszów",51.572522,19.580078,,Do zrobienia,,
ORL-PL-848212706,Orlen (Paliwa BAQ),"Stacja Orlen, Polska (współrzędne: 50.05075, 17.79246)",50.050748,17.792456,,Do zrobienia,,
ORL-PL-848447341,Orlen nr 1150,"Stacja Orlen, Polska (współrzędne: 52.13557, 16.27067)",52.135569,16.270665,,Do zrobienia,,
ORL-PL-850633951,Orlen nr 1365,"ul. Topolowa 1, 64-530 Kaźmierz",52.514347,16.574068,,Do zrobienia,,
ORL-PL-861674484,Orlen,"Stacja Orlen, Polska (współrzędne: 50.67476, 17.93199)",50.674758,17.931993,,Do zrobienia,,
ORL-PL-865280013,Orlen,"ul. Częstochowska 1a, 42-270 Kłomnice",50.917248,19.334721,,Do zrobienia,,
ORL-PL-867420264,Orlen,"ul. Bydgoska 29, 86-170 Nowe",53.644165,18.724720,,Do zrobienia,,
ORL-PL-879605960,Orlen nr 7767,"Stacja Orlen, Polska (współrzędne: 49.96896, 20.30816)",49.968959,20.308161,,Do zrobienia,,
ORL-PL-885440966,Orlen,"Stacja Orlen, Polska (współrzędne: 49.71664, 19.68908)",49.716640,19.689082,,Do zrobienia,,
ORL-PL-885441706,Orlen nr 1376,ul. Wadowicka 2,49.751512,19.605677,,Do zrobienia,,
ORL-PL-900452986,Orlen,"ul. Poznańska, 99-400 Łowicz",52.117124,19.965961,,Do zrobienia,,
ORL-PL-921817829,Orlen,"Stacja Orlen, Polska (współrzędne: 51.89004, 18.98140)",51.890044,18.981401,,Do zrobienia,,
ORL-PL-938891186,Orlen,"Kraków, 31-940",50.072765,20.029122,,Do zrobienia,,
ORL-PL-942778837,Orlen nr 7041,"Stacja Orlen, Polska (współrzędne: 52.36533, 16.53493)",52.365334,16.534931,,Do zrobienia,,
ORL-PL-958561587,Orlen nr 1329,"Stacja Orlen, Polska (współrzędne: 51.85598, 16.57801)",51.855979,16.578013,,Do zrobienia,,
