OSM_ID,OSM_Type,SP,Nazwa,Adres,Latitude,Longitude,OSM_Version
189353786,way,,Orlen,"współrzędne: 50.39610, 18.63517",50.396105,18.635170,
189841348,way,,Orlen,"współrzędne: 50.35996, 18.90550",50.359963,18.905503,
191380208,way,,Stacja paliw,"współrzędne: 50.12262, 22.23002",50.122621,22.230022,
193680624,way,,Orlen,"ul. Księdza Czesława Oszkiela 15, 05-555 Tarczyn",51.980170,20.839887,
194559158,way,,Orlen,"ul. Jana Skrowaczewskiego 58a-d, 96-300 Żyrardów",52.067637,20.433110,
197842663,way,,Orlen,"współrzędne: 51.12606, 17.53598",51.126060,17.535983,
202028401,way,,Orlen,"współrzędne: 50.25244, 19.04881",50.252440,19.048812,
202374198,way,,Orlen,"współrzędne: 50.59856, 17.03809",50.598558,17.038085,
203360695,way,,Orlen,"ul. Adama Asnyka 42, 43-502 Czechowice-Dziedzice",49.921843,19.006512,
203921132,way,,Orlen,"współrzędne: 50.31838, 19.19225",50.318378,19.192254,
204100047,way,,Orlen,"ul. Pszczyńska 318, 44-100 Gliwice",50.266241,18.713152,
204710840,way,,Orlen,"współrzędne: 50.24874, 19.11710",50.248741,19.117100,
205957587,way,,Orlen,"współrzędne: 52.25631, 19.15983",52.256314,19.159834,
209410868,way,,Orlen,"współrzędne: 50.65019, 17.97251",50.650187,17.972510,
215464587,way,,Orlen,"współrzędne: 50.09287, 18.24825",50.092869,18.248251,
218751234,way,,Orlen,"współrzędne: 53.36543, 18.63741",53.365426,18.637407,
218912064,way,,Orlen,"współrzędne: 50.34468, 18.91293",50.344681,18.912933,
219882510,way,,Orlen,"współrzędne: 51.03593, 15.41706",51.035929,15.417060,
219999335,way,,Orlen,"współrzędne: 50.71639, 16.58375",50.716390,16.583753,
220544412,way,,Orlen,"ul. Antoniego Malczewskiego 1, 02-617 Warszawa",52.194575,21.023896,
220945319,way,,Orlen,"współrzędne: 50.29324, 19.02316",50.293244,19.023161,
221519700,way,,Orlen,"współrzędne: 50.14680, 19.10565",50.146797,19.105646,
222821999,way,,Orlen,"współrzędne: 50.47515, 17.34089",50.475154,17.340888,
228893085,way,,Orlen,"współrzędne: 50.73798, 16.66022",50.737982,16.660216,
229455435,way,,Orlen,"współrzędne: 49.99665, 20.98536",49.996648,20.985362,
232803535,way,,Orlen,"współrzędne: 53.83250, 18.81874",53.832502,18.818742,
233512655,way,,Orlen,"współrzędne: 50.76086, 17.61647",50.760860,17.616468,
234467053,way,,Orlen,"współrzędne: 52.78693, 20.15403",52.786935,20.154030,
237595826,way,,Orlen,"współrzędne: 50.76503, 16.27007",50.765030,16.270066,
238773632,way,,Orlen,"współrzędne: 50.70289, 17.90735",50.702892,17.907352,
238817652,way,,Orlen,"współrzędne: 50.79022, 16.03355",50.790217,16.033550,
238862030,way,,Orlen,"współrzędne: 49.49977, 19.10051",49.499770,19.100509,
239171313,way,,Orlen,"współrzędne: 51.66402, 16.04683",51.664016,16.046833,
239765044,way,,Orlen,"ul. Generała Leopolda Okulickiego 1, 05-500 Piaseczno",52.082212,21.015585,
239915463,way,,Orlen,"współrzędne: 53.39444, 23.47257",53.394445,23.472571,
240330294,way,,Orlen,"współrzędne: 53.91696, 15.20402",53.916962,15.204021,
242534430,way,,Orlen,"współrzędne: 53.48908, 18.72261",53.489080,18.722606,
243642535,way,,Orlen Nowe,"współrzędne: 53.63671, 18.70481",53.636711,18.704805,
243726842,way,,Orlen,"ul. Białostocka 14, 17-300 Siemiatycze",52.444481,22.852410,
243911510,way,,Orlen,"ul. Katowicka 2a, 43-430 Skoczów",49.805065,18.789897,
245348190,way,,Orlen,"ul. Warszawska 16, 17-312 Drohiczyn",52.400886,22.657028,
246582418,way,,Orlen,"współrzędne: 50.86923, 16.29649",50.869230,16.296488,
248750272,way,,Orlen,"współrzędne: 50.48204, 17.31227",50.482038,17.312268,
249286349,way,,Orlen,"ul. Kluczborska 54, 46-250 Wołczyn",51.013928,18.055962,
249294200,way,,Orlen,"współrzędne: 50.97364, 18.20305",50.973642,18.203050,
251656986,way,,Orlen,"ul. Fabryczna 3, 65-410 Zielona Góra",51.935254,15.501539,
252113332,way,,Orlen,"współrzędne: 52.61635, 20.33367",52.616354,20.333674,
253479296,way,,Orlen,"ul. Michała Spisaka 1A, 05-816 Opacz-Kolonia",52.181600,20.885635,
254154503,way,,Orlen,"współrzędne: 53.50367, 18.79572",53.503675,18.795721,
254410938,way,,Orlen,"ul. Bielska 50, 43-200 Pszczyna",49.960407,18.961031,
255128714,way,,Orlen,"współrzędne: 50.25333, 23.13900",50.253326,23.139005,
255580007,way,,Orlen,"współrzędne: 50.19026, 21.89340",50.190261,21.893399,
258208923,way,,Orlen,"współrzędne: 49.82215, 18.66891",49.822154,18.668914,
258617683,way,,Orlen,"współrzędne: 54.55040, 18.42532",54.550402,18.425318,
260849447,way,,Orlen,"współrzędne: 53.02532, 18.64508",53.025323,18.645076,
262733007,way,,Orlen,"ul. Byczyńska 87, 46-200 Kluczbork",50.986081,18.209801,
266208625,way,,Orlen,"współrzędne: 49.86995, 19.71095",49.869948,19.710949,
269327980,node,,Orlen,"ul. Granitowa, Szczecin",53.371858,14.605912,
272610715,way,,Orlen,"współrzędne: 51.04969, 16.96956",51.049694,16.969564,
275121488,way,,Stacja paliw Orlen,"współrzędne: 50.02789, 21.37230",50.027887,21.372295,
275436844,way,,Orlen,"współrzędne: 51.03849, 16.75331",51.038488,16.753308,
278965782,node,,Orlen,"ul. Bolimowska 75, 99-400 Łowicz",52.102420,19.973450,
282572188,way,,Orlen,"współrzędne: 50.14622, 19.10798",50.146221,19.107982,
282729544,way,,Orlen,"współrzędne: 51.59300, 18.96353",51.592999,18.963530,
287803960,way,,Orlen,"ul. Koszalińska 34, 78-400 Szczecinek",53.714604,16.683101,
288183105,way,,Orlen,"współrzędne: 50.74597, 22.34168",50.745966,22.341676,
288873602,way,,Orlen,"ul. Aleja Jana Pawła II 131, 85-185 Bydgoszcz",53.101606,18.009904,
293141935,way,,Orlen,"ul. Aleja kardynała Stefana Wyszyńskiego 29, Bydgoszcz",53.136028,18.036794,
293159629,way,,Orlen,"współrzędne: 54.48088, 17.04854",54.480880,17.048541,
293968880,way,,Orlen,"współrzędne: 49.92611, 20.45303",49.926108,20.453033,
294488885,way,,Orlen,"ul. Droga Męczenników Majdanka 16, 20-325 Lublin",51.233603,22.585612,
294928101,way,,Orlen,"współrzędne: 49.36528, 20.11638",49.365282,20.116378,
297683715,way,,Orlen,"współrzędne: 53.15066, 17.90668",53.150660,17.906676,
297856685,way,,Orlen,"ul. Męczenników 1, 13-200 Działdowo",53.235187,20.180450,
299215416,way,,Orlen,"współrzędne: 53.89861, 14.26100",53.898611,14.260995,
299805776,way,,Orlen,"ul. Szczecińska 49, 73-110 Stargard",53.339654,15.018038,
299862651,way,,Orlen,"współrzędne: 52.86581, 22.01320",52.865810,22.013197,
300174864,way,,Orlen,"współrzędne: 50.82055, 16.28137",50.820554,16.281367,
303168587,way,,Orlen,"współrzędne: 54.20763, 17.94713",54.207628,17.947127,
303294109,way,,Orlen,"współrzędne: 53.30779, 18.51037",53.307795,18.510368,
303340569,way,,Orlen,"ul. Białostocka 12, 16-020 Czarna Białostocka",53.297258,23.297902,
304089127,way,,Orlen,"współrzędne: 50.32118, 18.85687",50.321176,18.856869,
304498211,way,,Orlen,"współrzędne: 50.96144, 16.35010",50.961444,16.350104,
305286350,way,,Orlen,"współrzędne: 50.33573, 18.14744",50.335735,18.147437,
305856663,way,,Orlen,"współrzędne: 49.82017, 21.62752",49.820165,21.627522,
306881805,way,,Orlen,"ul. Gdańska 240, 85-674 Bydgoszcz",53.145606,18.024189,
307448914,way,,Orlen,"współrzędne: 53.14452, 18.15559",53.144519,18.155591,
307622099,way,,Orlen,"ul. Burmistrza Wiejowskiego 53, 38-213 Kołaczyce",49.795476,21.423781,
310989747,way,,Orlen,"współrzędne: 54.19294, 16.19792",54.192936,16.197924,
311883867,way,,Orlen,"współrzędne: 49.99255, 20.04380",49.992550,20.043801,
314752723,way,,Orlen,"współrzędne: 51.44673, 20.47550",51.446734,20.475500,
316305553,way,,Orlen,"współrzędne: 51.12633, 15.92151",51.126328,15.921509,
316589420,way,,Orlen,"ul. Fordońska 32, 85-719 Bydgoszcz",53.120311,18.045033,
318496205,way,,Orlen,"współrzędne: 49.57771, 19.87127",49.577707,19.871266,
319068812,way,,Orlen,"ul. Konstantego Ildefonsa Gałczyńskiego 42, 42-610 Miasteczko Śląskie",50.485612,18.919867,
320303801,way,,ORLEN,"współrzędne: 50.74431, 18.44347",50.744306,18.443465,
320963294,way,,Orlen,"współrzędne: 50.60720, 16.82238",50.607205,16.822382,
323704191,way,,Orlen,"ul. Stefana Żeromskiego 116, Szczekociny",50.628739,19.852058,
323979715,way,,Orlen,"współrzędne: 52.37055, 18.29682",52.370546,18.296824,
325737634,way,,Orlen,"ul. 3 Maja 3, 96-320 Mszczonów",51.973899,20.516636,
326247309,way,,Orlen,"ul. Krakowska 27, 33-350 Piwniczna-Zdrój",49.448179,20.704037,
331726165,way,,Orlen,"współrzędne: 53.34068, 14.44677",53.340675,14.446774,
332042747,way,,Orlen,"współrzędne: 51.21396, 22.68763",51.213961,22.687629,
