ID_Punktu,Nazwa_Stacji,Adres,Latitude,Longitude,Handlowiec,Status,Ostatnia_Aktualizacja,Notatki,Audyt
ORL-PL-1492,Orlen nr 1492 (Łasin),"ul. Grudziądzka 11, 86-320 Łasin",52.000000,19.000000,,Do zrobienia,,,Nie
ORL-PL-1493,Orlen nr 1493 (Pawłówek),"ul. Wspólna 35, 86-014 Pawłówek",53.154935,17.888566,,Do zrobienia,,,Nie
ORL-PL-1495,Orlen nr 1495 (Bydgoszcz),"ul. Grunwaldzka 293, 85-438 Bydgoszcz",53.136028,18.036794,,Do zrobienia,,,Nie
ORL-PL-1496,Orlen nr 1496 (Kruszyn Krajeński),"ul. Szosa Szubińska 25, 86-005 Kruszyn Krajeński",52.000000,19.000000,,Do zrobienia,,,Nie
ORL-PL-1497,Orlen nr 1497 (Bydgoszcz),"ul. Wyszyńskiego 29, 85-028 Bydgoszcz",53.120311,18.045033,,Do zrobienia,,,Nie
ORL-PL-1498,Orlen nr 1498 (Bydgoszcz),"ul. Pelplińska 7, 85-792 Bydgoszcz",53.132018,17.946076,,Do zrobienia,,,Nie
ORL-PL-1499,Orlen nr 1499 (Lublin),"ul. Mełgiewska 2E, 20-202 Lublin",51.246213,22.625521,,Do zrobienia,,,Nie
ORL-PL-1500,Orlen nr 1500 (Wisznice),"Zawadzkiego, 21-580 Wisznice",51.781746,23.220544,,Do zrobienia,,,Nie
ORL-PL-1505,Orlen nr 1505 (Włodawa),"ul. Lubelska 70, 22-200 Włodawa",51.550226,23.539060,,Do zrobienia,,,Nie
ORL-PL-1507,Orlen nr 1507 (Sarnaki),"ul. Kolejowa 69, 08-220 Sarnaki",52.321391,22.879834,,Do zrobienia,,,Tak
ORL-PL-1515,Orlen nr 1515 (Siedlce),"ul. Brzeska 1, 08-110 Siedlce",52.160935,22.260955,,Do zrobienia,,,Nie
ORL-PL-1516,Orlen nr 1516 (Mińsk Mazowiecki),"ul. Warszawska 220, 05-300 Mińsk Mazowiecki",52.193317,21.519955,,Do zrobienia,,,Nie
ORL-PL-1518,Orlen nr 1518 (Warszawa),"ul. Al. Niepodległości 206, 00-608 Warszawa",52.191795,21.139990,,Do zrobienia,,,Nie
ORL-PL-1519,Orlen nr 1519 (Warszawa),"ul. Środziemnomorska 65, 02-758 Warszawa",51.962720,18.715154,,Do zrobienia,,,Tak
ORL-PL-1520,Orlen nr 1520 (Sochocin),"Ciechanowska, 09-110 Sochocin",52.692704,20.475099,,Do zrobienia,,,Nie
ORL-PL-1521,Orlen nr 1521 (Wrocław),"ul. Ślężna 129A, 53-301 Wrocław",51.084555,17.024742,,Do zrobienia,,,Nie
ORL-PL-1522,Orlen nr 1522 (Międzylesie),"ul. Warszawska 17, 57-530 Międzylesie",50.159024,16.669540,,Do zrobienia,,,Nie
ORL-PL-1525,Orlen nr 1525 (Świebodzice),"ul. Świdnicka 60, 58-160 Świebodzice",50.855472,16.334489,,Do zrobienia,,,Tak
ORL-PL-1526,Orlen nr 1526 (Kleczew),"ul. Al. 600-lecia 25, 62-540 Kleczew",52.367314,18.183479,,Do zrobienia,,,Nie
ORL-PL-1528,Orlen nr 1528 (Luboń),"Sobieskiego, 62-031 Luboń",52.339188,16.875310,,Do zrobienia,,,Nie
ORL-PL-1531,Orlen nr 1531 (Syców),"ul. Nowy Dwór, 56-500 Syców",51.300829,17.693239,,Do zrobienia,,,Nie
ORL-PL-1532,Orlen nr 1532 (Ostrzeszów),"ul. Al. Wojska Polskiego 62, 63-500 Ostrzeszów",51.444935,17.912404,,Do zrobienia,,,Nie
ORL-PL-1535,Orlen nr 1535 (Mieścisko),"Ruda, 62-290 Mieścisko",52.746905,17.308877,,Do zrobienia,,,Nie
ORL-PL-1536,Orlen nr 1536 (Warszawa),"ul. Lazurowa 40, 01-315 Warszawa",52.238990,20.897385,,Do zrobienia,,,Tak
